GEN_BOTANIC;DENUMIRE_CULTURA;COD;Traduction;ASSOLIA;SCHEMA_PLATA_MASURA_SPRIJIN;SECTIUNE;Colonne1
Triticum;GRÂU COMUN de toamn?;101;Blé tendre d'hiver;Soft wheat (winter);SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Triticum;GRÂU COMUN de prim?var?;1010;Blé tendre de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Triticum;GRÂU DUR de toamn?;102;Blé dur d'hiver;Durum wheat (winter);SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Triticum;GRÂU DUR de prim?var?;1020;Blé dur de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Triticosecale;TRITICALE de toamn?;103;Triticale d'hiver;Arable other crop;SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Triticosecale;TRITICALE de prim?var?;1030;Triticale de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Secale;SECAR? de toamn?;104;Seigle d'hiver;Rye;SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Secale;SECAR? de prim?var?;1040;Seigle de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Hordeum;ORZ de toamn?;105;Orge d'hiver;Barley (winter);SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Hordeum;ORZ de prim?var?;1050;Orge de printemps;Barley (spring);SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Hordeum;ORZOAIC? de toamn?;106;Orge de brasserie d'hiver;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Hordeum;ORZOAIC? de prim?var?;1060;Orge de brasserie de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Avena;OV?Z de toamn?;107;Avoine d'hiver;Oat (winter);SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Avena;OV?Z de prim?var?;1070;Avoine de printemps;Oat spring;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Zea;PORUMB;108;Maïs;Grain maize;SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Zea;PORUMB ZAHARAT;109;Maïs doux;Sweet maize;SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
