source_file;ucs_id;ucs_name;surface_ha;nb_uts;texture;profondeur;hydromorphie;position_topo;ph_classe;cailloux
id_ucs_10000.txt;414;Sols des plateaux limoneux, plus oumoins lessivés profonds du Vimeu;40214.0;5;limono-argileux;profond;;plateau;Basique;silex
id_ucs_10003.txt;48;sols bruns calciques à calcaires, à texture argileuse, sur molasse de l’Agenais, des pentes et vallons des coteaux de Gascogne;19015.0;3;argileux;profond;hydromorphe;versant;Basique;NA
id_ucs_10005.txt;64;Sols cultivés et boisés sur limons éoliens reposant sur des matériaux détritiques mio-pliocènes des plateaux sommitaux d’interfluve entre Gartempe et Couze de Rancon à Bellac;2354.0;4;sablo-argilo-limoneux;profond;hydromorphe;plateau;NA;NA
id_ucs_10006.txt;66;Sols des plateaux résiduels, buttes témoins et versants des plateaux calcaires du Tertiaire, sur pentes fortes (plus de 15-20 %) fréquentes, en bordure des plateaux.;10994.0;7;sablo-argileux;superficiel;;plateau;Basique;caillouteux
id_ucs_10007.txt;70;Sols sur argiles rouges à dominante calcaire avec présences localisées de bancs calcaires, d’argiles à graviers et de marnes rouges.;7396.0;3;argileux;superficiel;;NA;Basique;caillouteux
id_ucs_10008.txt;71;Sols sur argiles rouges, calcaires ou acides, parfois graveleuses, non hydromorphes du Bassin Aquitain ou du piémont du Massif Central.;1365.0;6;argileux;profond;hydromorphe;versant;Basique;caillouteux
id_ucs_10009.txt;6103;Sols bruns calcaires, limono-argileux à argile limoneux, profonds plus ou moins colluvionnés sur calcaires et marnes du Jurassique;2342.0;2;limono-argileux;moyen;draine;NA;Basique;NA
id_ucs_10010.txt;6201;Sols bruns calciques colluvio-alluviaux limoneux à limonoargileux, caillouteux en profondeur sur calcaires et marnes du Jurassique;895.0;1;limoneux;profond;hydromorphe;bord de cours d'eau;Basique;caillouteux
id_ucs_10011.txt;7201;Sols bruns calcaires et calciques argilo-limono-sableux à argilo-limoneux des collines de marnes et calcaires du Muschelkalk supérieur;10728.0;4;argilo-limono-sableux;moyen;hydromorphe;NA;Basique;NA
id_ucs_10012.txt;7301;Sols bruns calciques et calcaires, argilo-limono-sableux des collines de marnes et argiles du Trias;3901.0;3;argilo-limono-sableux;NA;hydromorphe;NA;Basique;NA
id_ucs_10013.txt;7401;Sols bruns lessivés à lessivés limoneux à limono-argileux profonds plus ou moins hydromorphes sur limons des plateaux;6004.0;3;limono-argileux;NA;hydromorphe;plateau;NA;NA
id_ucs_10014.txt;8101;Sols alluviaux argileux à gley sur alluvions récentes de la Sarre et ses affluents;2746.0;1;argilo-limoneux;NA;hydromorphe;bord de cours d'eau;NA;NA
id_ucs_10016.txt;12011;Sols profonds, à tendance hydromorphe des plateaux étendus limoneux sur grès;1472.0;10;limoneux;profond;hydromorphe;plateau;Acide;NA
id_ucs_10019.txt;2301;Sols de texture argilo-sableuse, très hydromorphes, des alluvions récentes des rivières vosgiennes du sud de l’Alsace;3070.0;2;limono-sablo-argileux;profond;hydromorphe;bord de cours d'eau;Acide;NA
id_ucs_10020.txt;423;Sols des versants côtiers limono-argileux à limono-sableux du Vimeu;3025.0;2;argilo-limono-sableux;moyen;;plateau;Basique;caillouteux
id_ucs_10022.txt;49;sols bruns calciques, sur calcaire de l’Agenais, des plateaux des coteaux de Gascogne;549.0;1;limono-argileux;NA;;plateau;Basique;NA
