"culture_id";"culture_name";"structure_id";"structure_name";"metacode"
"155";"Soja";"4";"Assolia";"SOJ"
"156";"Blé de force";"4";"Assolia";"BTH"
"157";"Orge de printemps";"4";"Assolia";"ORP"
"158";"Maïs tardif";"4";"Assolia";"MIS"
"159";"Tournesol";"4";"Assolia";"TRN"
"160";"Prairie temporaire";"4";"Assolia";"PTR"
"161";"Colza";"4";"Assolia";"CZH"
"162";"Blé tendre";"4";"Assolia";"BTH"
"163";"Blé dur";"4";"Assolia";"BDH"
"164";"Triticale";"4";"Assolia";"TTH"
"165";"Avoine";"4";"Assolia";"AVH"
"166";"Seigle";"4";"Assolia";"SGH"
"167";"Betterave";"4";"Assolia";"BTN"
"169";"Bourrache printemps";"4";"Assolia";""
"170";"Pois d'hiver";"4";"Assolia";"PHI"
"171";"Sorgho";"4";"Assolia";"SOG"
"196";"Soja";"5";"Albinet nutrition";"SOJ"
"197";"Blé de force";"5";"Albinet nutrition";"BTH"
"198";"Orge";"5";"Albinet nutrition";"ORH"
"199";"Maïs grain";"5";"Albinet nutrition";"MIS"
"200";"Tournesol";"5";"Albinet nutrition";"TRN"
"201";"Luzerne";"5";"Albinet nutrition";"LUZ"
"202";"Colza";"5";"Albinet nutrition";"CZH"
"203";"Blé tendre";"5";"Albinet nutrition";"BTH"
"204";"Blé dur";"5";"Albinet nutrition";"BDH"
"205";"Triticale";"5";"Albinet nutrition";"TTH"
"206";"Avoine";"5";"Albinet nutrition";"AVH"
"207";"Seigle";"5";"Albinet nutrition";"SGH"
"210";"Lin oléagineux";"5";"Albinet nutrition";"LIH"
"211";"Pois";"5";"Albinet nutrition";"PHI"
"212";"Sorgho";"5";"Albinet nutrition";"SOG"
"218";"Autre Assolé";"3";"Arterris";""
"222";"Vide";"3";"Arterris";""
"223";"Tournesol oléique";"3";"Arterris";"TRN"
"224";"Colza";"3";"Arterris";"CZH"
"225";"Blé dur";"3";"Arterris";"BDH"
"226";"Blé tendre";"3";"Arterris";"BTH"
"227";"Orge d'hiver";"3";"Arterris";"ORH"
"228";"Maïs bien irrigué";"3";"Arterris";"MIS"
"229";"Maïs en sec";"3";"Arterris";"MIS"
"230";"Sorgho en sec";"3";"Arterris";"SOG"
"231";"Pois chiche";"3";"Arterris";"PCH"
"232";"Soja irrigué";"3";"Arterris";"SOJ"
"233";"Pois d'hiver";"3";"Arterris";"PHI"
"234";"Blé tendre de force";"3";"Arterris";"BTH"
"235";"Orge de brasserie";"3";"Arterris";"ORH"
"236";"Tournesol classique";"3";"Arterris";"TRN"
"237";"Pois de printemps";"3";"Arterris";"PPR"
"238";"Soja sec";"3";"Arterris";"SOJ"
"242";"Féverole";"4";"Assolia";"FVP"
"244";"Orge d'hiver";"4";"Assolia";"ORH"
"248";"Pois chiche";"4";"Assolia";"PCH"
"251";"Pomme de terre";"4";"Assolia";"PTC"
"254";"Maïs Irrigué";"4";"Assolia";"MIS"
"257";"Soja irrigué";"4";"Assolia";"SOJ"
"282";"Prairie permanente";"4";"Assolia";"PPH"
"314";"Mais ensilage sec";"7";"NatUp";"MIS"
"315";"Sorgho";"7";"NatUp";"SOG"
"317";"Colza sec";"7";"NatUp";"CZH"
"318";"Blé tendre sec";"7";"NatUp";"BTH"
"323";"Betterave";"7";"NatUp";"BTN"
"325";"Pois";"7";"NatUp";"PHI"
"327";"Féverole";"7";"NatUp";"FVL"
"328";"Orge d'hiver";"7";"NatUp";"ORH"
"330";"Pomme de terre consommation";"7";"NatUp";"PTC"
"333";"Prairie Permanente";"7";"NatUp";"PPH"
"335";"Maïs grain sec";"7";"NatUp";"MIS"
"339";"Lin fibre";"7";"NatUp";"LIF"
"341";"Jachère";"7";"NatUp";"JAC"
"346";"Jachère";"3";"Arterris";"JAC"
"347";"Prairie temporaire 1 an";"3";"Arterris";"PTR"
"349";"Maïs moyennement irrigué";"3";"Arterris";"MIS"
"355";"Sorgho irrigué";"3";"Arterris";"SOG"
"357";"Triticale";"3";"Arterris";"TTH"
"358";"Prairie temporaire 2 ans";"3";"Arterris";"PTR"
"359";"Prairie temporaire 3 ans";"3";"Arterris";"PTR"
"365";"Maïs semence Fertile";"3";"Arterris";"MIS"
"368";"Blé dur contrat panzani";"3";"Arterris";"BDH"
"377";"Blé tendre sec";"9";"Groupe Bernard";"BTH"
"379";"Colza sec";"9";"Groupe Bernard";"CZH"
"381";"Maïs ensilage irrigué";"9";"Groupe Bernard";"MIS"
"382";"Maïs grain sec";"9";"Groupe Bernard";"MIS"
"383";"Orge";"9";"Groupe Bernard";"ORH"
"384";"Prairie permanente";"9";"Groupe Bernard";"PPH"
"385";"Prairie temporaire";"9";"Groupe Bernard";"PTR"
"386";"Soja sec";"9";"Groupe Bernard";"SOJ"
"387";"Tournesol";"9";"Groupe Bernard";"TRN"
"388";"Triticale";"9";"Groupe Bernard";"TTH"
"390";"Maïs semence Stérile";"3";"Arterris";"MIS"
"391";"Blé tendre BPC";"3";"Arterris";"BTH"
"415";"Avoine";"3";"Arterris";"AVH"
"422";"Luzerne 1 an";"3";"Arterris";"LUZ"
"423";"Luzerne 2 ans";"3";"Arterris";"LUZ"
"424";"Luzerne 3 ans";"3";"Arterris";"LUZ"
"425";"Ray grass";"3";"Arterris";"PTR"
"426";"Prairie permanente";"3";"Arterris";"PPH"
"427";"Porte graine hiver";"3";"Arterris";"FLA"
"428";"Porte graine Printemps";"3";"Arterris";"FLA"
"433";"Blé tendre";"12";"Centre france";"BTH"
"434";"Colza";"12";"Centre france";"CZH"
"435";"Maïs grain";"12";"Centre france";"MIS"
"437";"Tournesol oléique";"12";"Centre france";"TRN"
"438";"Orge d'hiver";"12";"Centre france";"ORH"
"439";"Triticale";"12";"Centre france";"TTH"
"440";"Feverole";"12";"Centre france";"FVP"
"441";"Pois d'hiver";"12";"Centre france";"PHI"
"442";"Blé dur";"12";"Centre france";"BDH"
"443";"Orge de printemps";"12";"Centre france";"ORP"
"456";"Blé tendre hiver";"13";"Carré";"BTH"
"457";"Orge d'hiver";"13";"Carré";"ORH"
"460";"Orge de printemps";"13";"Carré";"ORP"
"461";"Maïs fourrage";"13";"Carré";"MIS"
"462";"Colza";"13";"Carré";"CZH"
"463";"Maïs grain";"13";"Carré";"MIS"
"464";"Tournesol";"13";"Carré";"TRN"
"465";"Pois de printemps";"13";"Carré";"PPR"
"466";"Feverole";"13";"Carré";"FVP"
"467";"Betterave sucrière";"13";"Carré";"BTN"
"468";"Pomme de terre consommation";"13";"Carré";"PTC"
"469";"Lin textile";"13";"Carré";"LIF"
"472";"Blé tendre";"14";"Comptoir agricole";"BTH"
"473";"Orge d'hiver";"14";"Comptoir agricole";"ORH"
"474";"Orge de printemps";"14";"Comptoir agricole";"ORP"
"475";"Maïs grain";"14";"Comptoir agricole";"MIS"
"476";"Maïs fourrage";"14";"Comptoir agricole";"MIS"
"478";"Pois protéagineux";"14";"Comptoir agricole";"PHI"
"479";"Colza";"14";"Comptoir agricole";"CZH"
"480";"Pomme de terre conso";"14";"Comptoir agricole";"PTC"
"481";"Betterave sucrière";"14";"Comptoir agricole";"BTN"
"487";"Tournesol";"14";"Comptoir agricole";"TRN"
"488";"Soja";"14";"Comptoir agricole";"SOJ"
"492";"Soja semence";"14";"Comptoir agricole";"SOJ"
"493";"Tournesol semence";"14";"Comptoir agricole";"TRN"
"494";"Maïs grain Waxy";"14";"Comptoir agricole";"MIS"
"495";"Maïs grain Cribs";"14";"Comptoir agricole";"MIS"
"496";"Blé dur";"14";"Comptoir agricole";"BDH"
"497";"Avoine";"15";"Modele Bio";"AVH"
"498";"Colza";"15";"Modele Bio";"CZH"
"499";"Maïs";"15";"Modele Bio";"MIS"
"500";"Pois protéagineux";"15";"Modele Bio";"PHI"
"501";"Luzerne";"15";"Modele Bio";"LUZ"
"502";"Lentille";"15";"Modele Bio";"LEC"
